"","logFC.trtF","logFC.trtL","logFC.trtS","logCPM","LR","PValue","FDR"
"oases6_CL1573Contig1_1",7.8799737481927,7.18733883236054,6.98698609179787,0.0908013487741128,142.581293901199,1.04918309245338e-30,1.28255638498477e-27
"oases6_k49_Locus_60818_Transcript_1_1",7.83005792274802,5.18746747848019,-2.72168652760316,5.36396516828736,142.161127054404,1.29257968611342e-30,1.52912176867218e-27
"oases6_k49_Locus_62532_Transcript_1_1",6.50664305326721,-3.33744911772736,3.30851886894468,5.35044762411184,141.126140259241,2.16091209358922e-30,2.47647278775617e-27
"oases3_k49_Locus_49905_Transcript_1_1",8.6897672745958,-1.24849403739725,-1.58388357367425,2.99124471662894,139.703590561688,4.37895598515917e-30,4.86634705587097e-27
"oases6_k25_Locus_58021_Transcript_1_1",7.74451042949585,1.71321200901891,1.01249787358921,0.091781398518726,139.318272919462,5.30212446236922e-30,5.71896501201371e-27
"oases3_k43_Locus_24204_Transcript_8_1",7.30364639546324,0.70395351210755,0.047791639925158,4.35367574531229,137.66846760603,1.20268075196575e-29,1.26016889190971e-26
"oases3_k25_Locus_52522_Transcript_1_1",9.08208077803686,-1.00143303242728,-0.908390522213621,3.12004276255255,137.356106500952,1.404405370447e-29,1.4306599486223e-26
"oases6_k43_Locus_61060_Transcript_1_1",10.0737840979705,3.99045137948888,2.16801435650126,4.25665622786909,136.808866437297,1.84276377700684e-29,1.82647772957221e-26
"TRINITY_DN29821_c0_g1_i1",7.73438265012391,6.9905793938947,6.76070196312722,-0.00109994066295555,134.52232643878,5.73295301321153e-29,5.5327522593028e-26
"oases3_CL19994Contig1_1",6.33350511849258,0.716118146057652,0.131527849950461,6.97023540208234,134.366121431425,6.19511320199484e-29,5.82547144760915e-26
"oases6_k49_Locus_50411_Transcript_1_1",7.55806749228393,2.71056338421438,2.03815238797848,4.00997544787478,133.828599485472,8.08933704098838e-29,7.41650643260417e-26
"oases3_k25_Locus_52548_Transcript_1_1",7.72330912382059,-3.16450134892633,0.0650853161163957,4.27710716343505,133.473557677914,9.64807955083311e-29,8.62985417970007e-26
"oases3_k25_Locus_54713_Transcript_9_1",7.71303813059663,2.70281018506195,0.836457909221807,6.49102334315483,133.113495204428,1.1535846882115e-28,1.00727169692334e-25
"oases2_k31_Locus_41487_Transcript_2_1",6.89902417379087,0.923962533455191,-0.429781896188454,2.5611294707325,132.704933717538,1.41289470876159e-28,1.20500203847474e-25
"oases3_CL21094Contig1_1",9.66852466068039,-0.531374910943915,-3.67777234019425,7.53575203739008,131.398938226376,2.70139020619214e-28,2.21119042755626e-25
"oases3_k25_Locus_58091_Transcript_1_1",7.59379328252027,4.50990640541578,5.4763036024405,-0.117358486081557,131.390099571346,2.71326505167375e-28,2.21119042755626e-25
"oases3_k49_Locus_49169_Transcript_6_1",7.02052356373416,1.71147262954559,-4.07921327091008,2.1851623524812,131.311449208843,2.82125825258129e-28,2.24921747601987e-25
"oases3_k49_Locus_49692_Transcript_1_1",7.64062828182947,-1.10539426181029,-0.0302846293365589,5.48516114677974,130.63728767697,3.94215892527872e-28,3.07597434610099e-25
"oases3_k31_Locus_50978_Transcript_1_1",8.25695372518468,2.7950066142574,1.00698586422131,2.62527672404855,128.864567683996,9.50064905212655e-28,7.25869380601327e-25
"oases3_k49_Locus_49150_Transcript_2_1",7.16678429501447,-2.26951869319607,0.248959773794007,3.68672247782825,128.509341857357,1.13318098606346e-27,8.48105026569493e-25
"oases3_k25_Locus_53247_Transcript_1_1",7.49369711675646,2.25973001456121,0.0173963108043386,4.1050733303127,127.752822769448,1.64934980380478e-27,1.20973210709865e-24
"oases6_CL13495Contig1_1",8.12595737530805,2.44794100876349,-2.50141647602955,2.90305207931568,127.034360116365,2.35569518367534e-27,1.69392959746913e-24
"oases3_k31_Locus_50788_Transcript_1_1",6.65083492444338,0.791033159275682,-0.314989454409118,4.78470386228965,126.866735956441,2.55997611118765e-27,1.80542315241509e-24
"oases3_k25_Locus_34860_Transcript_8_1",7.79830660050447,-2.70254927116541,2.67566074288552,4.58540254548889,125.616794794076,4.75927103219345e-27,3.29314616157793e-24
"oases3_k49_Locus_48658_Transcript_5_1",8.70001639266706,3.98074690518823,-1.38381415852887,3.46843861610169,125.497408558768,5.04965337168529e-27,3.42936922407064e-24
"oases3_CL2117Contig1_1",7.51581679587328,6.63943559209429,6.33783883669268,-0.159523332732298,124.845908129289,6.97622542871792e-27,4.65162027540677e-24
"oases6_CL2480Contig1_1",8.6959068937652,-1.67008560095677,1.97492051056072,2.94894617928996,123.902864734525,1.11372803950828e-26,7.28449452827727e-24
"oases3_k43_Locus_11925_Transcript_3_1",5.54438556349028,-0.437895913109024,0.402224166611736,3.9511376192475,123.869680183963,1.13221222183024e-26,7.28449452827727e-24
"oases3_k43_Locus_3424_Transcript_84_3",7.28503156948411,-0.406540122736345,-0.452890718544861,7.97800640922163,122.669639072655,2.05320816453357e-26,1.29822936237827e-23
"oases3_k43_Locus_50461_Transcript_3_1",9.81135032232136,0.374542880198132,-0.208567687972236,3.61735772958627,122.629064228101,2.09494683098936e-26,1.30216923954022e-23
"oases2_k25_Locus_49164_Transcript_1_1",8.69128299938803,1.96896644763209,1.03609434283299,7.51737782011718,122.036448622563,2.81075319189028e-26,1.71797919676987e-23
"oases6_k49_Locus_12143_Transcript_7_2",7.60675951551327,1.46887943329838,0.568708302758087,7.44230839225785,121.851764626178,3.0803688957505e-26,1.85190768055505e-23
"oases3_k43_Locus_49973_Transcript_1_1",7.54394508813586,2.14973316798833,0.0352653045226088,3.42638087636351,121.707456685233,3.30891497754615e-26,1.95722320921854e-23
"oases3_k37_Locus_49893_Transcript_5_1",8.70051465079718,-0.966329528742212,1.86449010161321,3.86530947878474,121.377425257934,3.89736301921854e-26,2.26869831752066e-23
"oases6_k31_Locus_43216_Transcript_1_1",8.59226935958055,-0.14237121633114,3.95428358005545,3.72306430387875,121.105677414509,4.45965520184226e-26,2.55545211276815e-23
"oases3_k43_Locus_49342_Transcript_6_1",9.88189429638834,4.66249420414984,2.94090216953433,2.20647863588068,120.85211389897,5.05724645011333e-26,2.85329844715394e-23
"oases6_k49_Locus_57643_Transcript_1_1",7.13402708270329,3.8472844862118,1.99839475251398,5.62321936905904,120.406741996142,6.30720066209459e-26,3.5046056042575e-23
"oases2_k25_Locus_50568_Transcript_1_1",8.27251658627987,2.52537444330107,0.113497722272451,8.22669079102351,119.740236930618,8.77769791952704e-26,4.80454501198232e-23
"oases3_k25_Locus_52353_Transcript_5_1",7.40750002843236,0.383213174368484,-3.5511953275968,7.03352721468876,119.649231267716,9.18289991663403e-26,4.95241895062823e-23
"TRINITY_DN31096_c0_g1_i5",7.34516401041103,6.6347493913282,6.42333798878788,-0.203260805093456,119.185851323421,1.1555072966029e-25,6.11782841836687e-23
"oases6_k25_Locus_55231_Transcript_1_1",7.01652930509858,5.52507040983211,0.218603449386981,3.62696000423656,119.164601749437,1.16774735987152e-25,6.11782841836687e-23
"oases6_CL663Contig1_1",8.91445998075878,0.668182054261532,-0.036630900486028,2.87240950906299,119.048380160898,1.23702271677764e-25,6.38948367498401e-23
"oases3_k43_Locus_49519_Transcript_1_1",7.849696783145,3.61732423980053,2.26964783441431,3.90707930564821,118.720194849712,1.45563538379734e-25,7.41423839305553e-23
"oases6_k43_Locus_5868_Transcript_3_2",4.21753030531655,-1.33765441896023,-0.36720863150426,4.82793006602927,118.435336276459,1.67647001135818e-25,8.42208009952583e-23
"oases3_k43_Locus_49382_Transcript_1_1",7.22132491209712,-4.27484096892774,-0.900303377311207,5.35364592018794,117.849639213054,2.24140093108899e-25,1.11079589656522e-22
"oases3_k37_Locus_50178_Transcript_1_1",7.65656390368386,0.875582581472148,-3.95211082636179,3.93598973978212,117.757705132482,2.34593580837257e-25,1.14710005200596e-22
"oases2_k31_Locus_45641_Transcript_1_1",9.20651412510476,-0.120089383767736,-0.126365284233644,1.74432866246126,116.746098222547,3.87383806651704e-25,1.86927978175499e-22
"oases3_k25_Locus_4987_Transcript_6_1",5.50646474690507,0.670655727474689,-5.78976115301901,2.45450081674628,116.46996129375,4.4422010822364e-25,2.11569922453059e-22
"oases3_k37_Locus_11505_Transcript_13_1",7.61766450661819,0.805011092039433,-0.238298168808714,7.11678267528327,115.988346227852,5.64020522408424e-25,2.6518364895236e-22
"oases6_k43_Locus_57305_Transcript_1_1",6.87027580574533,-2.72149162929268,0.334815892319509,2.20474512075186,115.029546017392,9.07243111779636e-25,4.21156033396134e-22
"oases6_k25_Locus_55964_Transcript_1_1",9.65942736193647,0.121124037234975,3.96462057943708,2.10818222196664,114.87293186684,9.80485505712983e-25,4.49466811887653e-22
"oases6_k43_Locus_36842_Transcript_2_1",8.46005481581008,0.928584101421474,2.49852092015115,6.14183485367813,114.623117204537,1.10974457181546e-24,5.02440280027016e-22
"TRINITY_DN36835_c4_g3_i2",6.48491192785688,-0.0197691303933928,-0.777150699501188,-0.304670717220419,114.524037038206,1.16561043356415e-24,5.2129794426949e-22
"oases6_k31_Locus_25424_Transcript_1_1",7.42724666886183,0.146893056385277,-1.47674501723501,5.11673499237279,114.371097964317,1.25741456837169e-24,5.55580294769818e-22
"oases3_CL20544Contig1_1",7.62690459079,0.497039739978188,-0.00322423490741719,5.64369849377813,114.151458414637,1.40204617980512e-24,6.12109994666585e-22
"oases6_k37_Locus_39454_Transcript_1_1",6.08386420999141,-0.532666119281572,1.12780372303197,4.00719770795198,113.7499716181,1.71077175895802e-24,7.38107443720795e-22
"oases3_k49_Locus_11972_Transcript_3_1",8.21007260278505,-0.584348924097089,-1.05215821215927,2.65781125979566,113.637581945487,1.80878189893742e-24,7.71319285810838e-22
"oases3_k25_Locus_52512_Transcript_1_1",7.20221853951287,6.55352376992895,6.37821810651101,-0.376836446194551,113.198694174123,2.24834849612159e-24,9.47743498830657e-22
"oases3_k25_Locus_53996_Transcript_1_1",7.19863747125486,6.85048729098338,6.87909291942795,-0.288922460093221,113.068179320467,2.3986030133316e-24,9.99590548953518e-22
"oases3_k43_Locus_48964_Transcript_2_1",7.69051750373406,2.34494207377727,-3.38505308520166,3.89221244468997,112.747353524149,2.81202022598047e-24,1.15871031176834e-21
"oases3_k25_Locus_54197_Transcript_1_1",7.17558978354952,4.1986303035571,5.44427175399125,-0.321528123351666,112.675466483414,2.91401921533117e-24,1.18739807426489e-21
"oases3_k37_Locus_50451_Transcript_6_1",8.02423826585544,0.393177523173602,-0.587340150080376,7.44441443868778,111.911416285029,4.25551332786572e-24,1.71497187112988e-21
"oases3_CL1412Contig1_1",9.01829760875608,2.88864038057516,2.8628112781218,3.03244389214049,111.71812597108,4.68333882877032e-24,1.86687048769015e-21
"oases3_k25_Locus_52405_Transcript_1_1",9.34724002142923,5.10328616083396,0.630580059118142,2.32802813829733,111.051261165259,6.51757589040766e-24,2.57009742611742e-21
"oases6_k49_Locus_49834_Transcript_2_1",8.94297669598109,5.57583730419754,3.82515536974056,3.62261900219528,110.84216375548,7.22917865730628e-24,2.82037945637652e-21
"oases6_k25_Locus_64191_Transcript_3_1",6.98282015621753,2.4510029169815,3.02075012495676,4.5393954470908,110.388712070338,9.05065999781604e-24,3.49384056947271e-21
"oases6_k37_Locus_11488_Transcript_5_2",5.84451398488402,0.172847001497074,-0.996790777199402,3.92496340618436,110.232509528956,9.7790607525317e-24,3.73570307268328e-21
"oases6_k31_Locus_55381_Transcript_5_1",9.25674472189261,-0.771841190270374,1.73087853191627,2.17208712205671,110.166900327018,1.01022242325119e-23,3.81936978638049e-21
"oases6_k43_Locus_62306_Transcript_3_1",6.12301090157319,2.87603000393604,2.18500641069455,-0.290033168698786,109.579509658902,1.35153393407735e-23,5.05763305759373e-21
"oases6_k25_Locus_62086_Transcript_2_1",8.53012563418904,-1.06030743325528,-1.50133427155266,2.82700696088405,109.537153880372,1.38019972572776e-23,5.11273379208222e-21
"oases3_k37_Locus_51026_Transcript_3_1",9.5201270595642,4.28677370681835,4.10858905911376,4.77734849357376,109.361283656117,1.50587509929414e-23,5.52249575164139e-21
"oases6_k25_Locus_29010_Transcript_2_1",10.1448095196289,6.43699517220154,3.71519531201961,3.40793218194246,108.910119997959,1.88311234227053e-23,6.83756227010763e-21
"oases3_k25_Locus_53442_Transcript_1_1",7.18164717600547,6.66583597147849,6.57506378639335,-0.408618119526573,108.339274092075,2.49869437114527e-23,8.98378614441278e-21
"oases3_k31_Locus_51023_Transcript_1_1",5.67250516097743,4.87424863599612,4.61019166246891,-0.0435342578112962,108.191482064929,2.68852867981789e-23,9.57246721116131e-21
"oases3_k25_Locus_52332_Transcript_1_1",10.5950547959984,2.23258046622201,2.15672114444145,2.54985838570862,108.154397680289,2.7383839559686e-23,9.65622642473429e-21
"oases6_k49_Locus_76065_Transcript_1_1",12.1505653349177,9.07779520499436,5.78351531857412,3.54560913084321,107.929581961279,3.06103821493867e-23,1.06911861387091e-20
"TRINITY_DN21535_c0_g1_i1",6.81636465225438,1.70235944663275,0.973548480898922,-0.391573321682649,107.84329777737,3.19473316134326e-23,1.1052872568485e-20
"oases6_k25_Locus_16650_Transcript_1_1",4.12929670393951,-1.86208072129618,-0.120458540726394,4.38808504261075,107.663473577071,3.49242492136507e-23,1.19698784244132e-20
"oases6_k49_Locus_19029_Transcript_2_1",5.87015573335781,-5.73557528608943,0.421110630467062,3.38512094467454,107.362485819459,4.05404747666393e-23,1.37661188066385e-20
"oases6_k37_Locus_5849_Transcript_9_1",7.95222352456638,-0.428560475902615,-2.2165484479641,6.25988168343267,107.246341239411,4.29416306072001e-23,1.44476919197968e-20
"oases3_k25_Locus_53316_Transcript_2_1",7.14144944217754,6.14027544369085,5.77705896133977,-0.331834607722881,106.912904674222,5.0654667975711e-23,1.68878058061205e-20
"oases3_k37_Locus_29194_Transcript_1_1",5.06847635770287,-4.57441359822082,-5.461935568833,5.55359067408632,106.632494185946,5.8203613732787e-23,1.92297398776802e-20
"oases6_k43_Locus_18369_Transcript_1_1",3.45699154058852,-1.94210337878463,-0.818096454595999,5.59165449605398,106.557385776285,6.0410067590705e-23,1.97805215067315e-20
"oases3_CL20429Contig1_1",7.08755095295136,1.52068505003755,-2.49738562899704,3.97529505075021,106.402424791823,6.52301580438359e-23,2.11697839463858e-20
"oases3_k37_Locus_49665_Transcript_1_1",9.86568416105074,2.57122550481655,3.04629238395769,3.46115219106619,106.268511496678,6.97041881635153e-23,2.24233481800052e-20
"oases2_k25_Locus_16219_Transcript_3_1",4.67735345335272,1.59881676518464,0.328245197129068,5.49885799605337,105.473546219765,1.03343419712734e-22,3.29557672271748e-20
"TRINITY_DN80619_c0_g1_i1",6.80917048653548,2.24119088731426,1.49728664426441,-0.425280004667248,105.348342384416,1.09955595512198e-22,3.47620823639554e-20
"oases2_k49_Locus_33714_Transcript_2_1",4.4749991809432,-1.34187489792021,-2.60715318744152,4.71020963497449,105.262060993885,1.14756810397582e-22,3.59698846812865e-20
"oases3_k25_Locus_52959_Transcript_6_1",9.37339288869567,11.950657298558,3.23185853447746,3.31705264533584,104.513851003555,1.6623785229211e-22,5.16647521788859e-20
"oases6_k25_Locus_62506_Transcript_1_1",6.86950667863371,2.48234742591996,2.98107953537582,-0.353209468360182,104.243743548575,1.90034106006043e-22,5.8564040080333e-20
"oases3_k37_Locus_2363_Transcript_9_1",3.25713231392721,-1.29458989475046,-0.0456079735053904,4.97502028700865,103.735350138706,2.44447735991199e-22,7.47052651833771e-20
"TRINITY_DN66714_c0_g1_i1",5.92707605353114,-2.4985957620943,-2.23435149807841,0.122931123096301,103.625248952121,2.58147496503854e-22,7.82400259445111e-20
"oases3_k31_Locus_52792_Transcript_5_1",5.67701241535542,1.07615783820428,1.27828426911768,6.32810308704227,103.409747344113,2.87223475562622e-22,8.63389058959675e-20
"oases6_CL11213Contig1_2",9.11055093436262,4.15532021499823,2.61643068216028,4.88712963161117,102.788278288574,3.9073828297568e-22,1.16500366272903e-19
"oases6_k25_Locus_80214_Transcript_1_1",6.94965753180964,6.65137844037498,6.71788459093846,-0.446176354679105,102.636437320082,4.21252872160823e-22,1.23789772810202e-19
"oases6_k25_Locus_56346_Transcript_4_1",7.30541749819767,1.91438274449882,1.42110654923141,2.88886139025403,102.633157177522,4.21937708975957e-22,1.23789772810202e-19
"oases3_CL20356Contig1_1",5.68552961958148,-2.61516811946647,-2.40655477813413,2.99141452392809,102.473968141829,4.56546609368028e-22,1.32880427026617e-19
"oases6_k49_Locus_59519_Transcript_1_1",6.74185576973216,1.96131414432438,1.24755982506415,-0.45801236291734,102.256071233038,5.08566074220254e-22,1.46855461731334e-19
"oases3_k25_Locus_55514_Transcript_1_1",6.58275674008212,6.27645418210421,6.33496991972065,-0.620686201575695,102.215095504074,5.18990937903317e-22,1.48694958326003e-19
"oases3_k25_Locus_53849_Transcript_1_1",6.87732891242563,2.97194321227835,2.2814429744727,-0.456012136510456,102.153287227853,5.35121528629465e-22,1.5212799860022e-19
"oases3_CL10258Contig1_1",-8.76336089556511,-8.99807619799624,-0.868380145105013,4.36115038418144,102.093801282249,5.51119215676711e-22,1.554707307424e-19
"oases6_k37_Locus_57685_Transcript_6_1",8.63378024454983,4.68250134294122,2.2808018726509,5.08861490880052,102.005154608717,5.75850699609544e-22,1.61207425242602e-19
"oases6_CL45Contig2_2",-5.50570937905085,-5.79714009611476,-3.93924499165406,7.42624266644987,101.638877284863,6.90366626436166e-22,1.91801630994648e-19
"oases3_CL3029Contig1_1",6.94263949579772,2.74033730870751,2.09482703668642,-0.445080171289976,100.883291397014,1.00360765324802e-21,2.76731605019284e-19
"oases3_CL17685Contig1_1",3.45240999963128,-1.86108613946556,-0.206718304359519,5.52090246197581,100.83112464188,1.02986827320231e-21,2.81853426739912e-19
"oases6_k49_Locus_58223_Transcript_3_1",6.56809034687938,0.784037586650772,-1.8943037261337,3.75431247483506,100.797679279798,1.04706488876166e-21,2.84437116041158e-19
"oases3_k25_Locus_41872_Transcript_2_1",8.27320812130801,-1.36010859856634,-1.78944443053321,3.06825332881806,99.7914453189055,1.72320963070721e-21,4.64671079315628e-19
"oases2_k49_Locus_50905_Transcript_1_1",6.82595507388339,-1.26592637690713,0.19729102589935,0.0834074624431442,99.638430303805,1.85882358514217e-21,4.97581294437364e-19
"oases3_k43_Locus_49330_Transcript_1_1",6.88523155089792,6.18067819825789,5.9717229414747,-0.511170502321866,99.436326936045,2.05443338675416e-21,5.4595822893069e-19
"oases3_k31_Locus_39189_Transcript_1_1",4.90122327327013,-3.94290545728834,-0.944907605873995,5.20413460213185,99.2931958841341,2.2052909672766e-21,5.81831911100249e-19
"oases6_k43_Locus_11426_Transcript_15_1",6.05673300486735,-3.21657870155725,-0.553202983366894,3.18931054169006,99.0300321873125,2.51215348979334e-21,6.58058606651366e-19
"oases2_CL1131Contig1_1",5.85393949548274,2.062875896804,-1.46629651081038,5.49750368873274,98.9196789987837,2.65321045820852e-21,6.90079341375042e-19
"oases3_k31_Locus_28008_Transcript_1_1",6.69183906756062,1.55490067529939,0.295842376448255,2.37636132785227,98.7405066472888,2.8992959146573e-21,7.48773796325544e-19
"oases3_k25_Locus_53517_Transcript_1_1",6.42480865477291,-3.19143166059434,0.664651609226288,1.89596434857297,98.6576632075834,3.02066866412387e-21,7.74664209226676e-19
"oases3_k49_Locus_2506_Transcript_10_1",6.51058211132728,1.86252212652675,1.56616899990395,4.74641288593494,97.8589915934551,4.48541115932743e-21,1.1344581071903e-18
"oases3_k49_Locus_6727_Transcript_5_1",-3.78097080526935,-5.38886081797202,-0.69021366433173,0.238492281009486,97.8589554602741,4.48549138446797e-21,1.1344581071903e-18
"oases2_k25_Locus_22851_Transcript_3_1",7.93021478161379,2.50913895130272,1.26530270835253,6.00970230590359,97.5697208563435,5.1759078443119e-21,1.30011005735925e-18
"oases3_k49_Locus_48494_Transcript_1_1",8.52579582587302,4.96770708160927,0.424988593071403,3.73406457697025,97.5113108729082,5.32773550061649e-21,1.32914315655856e-18
"oases6_k25_Locus_60834_Transcript_1_1",6.91044290667513,3.10987356275005,2.44930294281741,-0.521926889050609,97.3762844271528,5.69597889978537e-21,1.41140969048533e-18
"oases3_k25_Locus_53259_Transcript_1_1",8.29905700164093,1.49206645689629,-1.23749211370944,6.28899088227358,97.3059551916652,5.89775069002546e-21,1.45159873191479e-18
"oases6_k25_Locus_57522_Transcript_1_1",6.65298673882641,2.22916188964819,1.51979681058488,-0.518324173855254,97.2414439411676,6.08910850479835e-21,1.4887058413098e-18
"oases3_k49_Locus_48911_Transcript_1_1",6.52150166067528,1.91600068428799,-0.329367426455378,2.80635984916195,96.9308675786524,7.10090577859912e-21,1.72457958687792e-18
"oases6_k25_Locus_51349_Transcript_1_1",6.50439629716787,1.59695775344755,1.2365942177756,1.97105011649795,96.7276949802378,7.85209635619481e-21,1.88176075061525e-18
"oases6_k49_Locus_57726_Transcript_2_1",9.26728516714325,1.82099026713917,1.25629344368869,3.43155300064653,96.7201639995829,7.88141841039901e-21,1.88176075061525e-18
"oases3_k25_Locus_52753_Transcript_1_1",6.32826270525267,-0.578730763465026,-4.44442508021694,4.78951300749213,96.7032246488852,7.94777285249282e-21,1.88176075061525e-18
"oases6_k37_Locus_50023_Transcript_3_1",8.80828778581095,-1.4326612986789,5.7027997093693,5.49586859984029,96.7018093260052,7.95334214123098e-21,1.88176075061525e-18
"oases3_k43_Locus_456_Transcript_10_1",5.82985025405036,1.98189334883002,-0.70642771663355,3.53721772814507,96.3787865525176,9.3321390437246e-21,2.19383035352893e-18
"oases3_k37_Locus_49374_Transcript_9_1",7.18586271784744,-0.23063974960061,-0.907793647954746,5.94886131463934,96.3554770561115,9.44042023877029e-21,2.20514988163327e-18
"oases3_k49_Locus_48479_Transcript_1_1",6.29571776173428,-2.36525147478278,-2.95540093512313,1.51810475113116,96.2467177160856,9.96248820070859e-21,2.31236917585181e-18
"oases6_CL1263Contig1_1",7.5524102370528,0.619129168329798,0.573717706847665,3.54417663635599,96.1119637605149,1.0649547838306e-20,2.45629476650437e-18
"oases6_k25_Locus_56266_Transcript_3_1",6.87346884665065,2.69746263620775,1.14105906426131,2.82825713959257,95.9621087451829,1.14693758086004e-20,2.62885261893002e-18
"oases3_k25_Locus_40865_Transcript_1_1",5.97444347273311,0.351593436468602,-0.961147129541925,2.70879265684297,95.5467356134953,1.40868546216728e-20,3.20874049404104e-18
"oases3_k25_Locus_34163_Transcript_7_1",9.56366891515035,4.40662180702744,1.14011353120776,1.86084449320118,95.2297526388741,1.64793123883794e-20,3.73052977295701e-18
"oases6_k37_Locus_55772_Transcript_2_1",7.50649289714844,-2.03531218601178,0.00240844816735239,2.87032343032164,95.1139294490234,1.74514248896957e-20,3.92635647226877e-18
